Home2 Suites by Hilton Baton Rouge,"Baton Rouge, LA",$94
Hampton Inn & Suites Baton Rouge - I-10 East,"Baton Rouge, LA",$89
Hilton Garden Inn Covington/Mandeville,"Covington, LA",$87
Homewood Suites by Hilton Covington,"Covington, LA",$82
Hampton Inn Covington,"Covington, LA",$90
Hampton Inn Shreveport/Bossier City,"Bossier City, LA",$86
Hilton Garden Inn Shreveport Bossier City,"Bossier City, LA",$92
"Homewood Suites by Hilton Shreveport / Bossier City, LA","Bossier City, LA",$101
Hampton Inn & Suites Shreveport/Bossier City at Airline Drive,"Bossier City, LA",$99
Name,Location,Price per Night
Hampton Inn Bangor,"Bangor, ME",$104
Hilton Garden Inn Bangor,"Bangor, ME",$113
Homewood Suites by Hilton Augusta,"Augusta, ME",$126
Hampton Inn Augusta,"Augusta, ME",$113
Hampton Inn Ellsworth/Bar Harbor,"Ellsworth, ME",$111
Hampton Inn Bar Harbor,"Bar Harbor, ME",
Hilton Garden Inn Auburn Riverwatch,"Auburn, ME",$96
Hampton Inn Lewiston-Auburn,"Lewiston, ME",$92
Hampton Inn Oxford,"Oxford, ME",$78
"Hampton Inn Bath (Brunswick Area), ME","Bath, ME",$106
Hilton Garden Inn Freeport Downtown,"Freeport, ME",$90
Hampton Inn Freeport/Brunswick,"Freeport, ME",$78
Hampton Inn Portland Downtown - Waterfront,"Portland, ME",$107
Hilton Garden Inn Portland Downtown Waterfront,"Portland, ME",$114
Hampton Inn & Suites Portland West,"Portland, ME",$78
Embassy Suites by Hilton Portland Maine,"Portland, ME",$110
Hilton Garden Inn Portland Airport,"Portland, ME",$96
"DoubleTree by Hilton Hotel Portland, ME","Portland, ME",$93
Hampton Inn Kennebunk Kennebunkport,"Kennebunk, ME",$89
Hampton Inn & Suites Kittery,"Kittery, ME",$96
Name,Location,Price per Night
Hilton Garden Inn Annapolis,"Annapolis, MD",$82
DoubleTree by Hilton Hotel Annapolis,"Annapolis, MD",$94
Hampton Inn & Suites Annapolis,"Annapolis, MD",$82
Hilton Garden Inn Annapolis Downtown,"Annapolis, MD",$100
Canopy by Hilton Baltimore Harbor Point,"Baltimore, MD",
Hampton Inn Baltimore-Downtown-Convention Center,"Baltimore, MD",$87
Homewood Suites by Hilton Baltimore,"Baltimore, MD",$111
Hilton Garden Inn Baltimore Inner Harbor,"Baltimore, MD",$112
"Pier 5 Hotel Baltimore, Curio Collection by Hilton","Baltimore, MD",$127
Hilton Baltimore Inner Harbor,"Baltimore, MD",$127
Hampton Inn & Suites Baltimore Inner Harbor,"Baltimore, MD",$87
Embassy Suites by Hilton Baltimore Inner Harbor,"Baltimore, MD",$93
"Home2 Suites by Hilton Baltimore Downtown, MD","Baltimore, MD",$82
Hampton Inn Baltimore Bayview Campus,"Baltimore, MD",$94
Inn at The Colonnade Baltimore - a DoubleTree by Hilton Hotel,"Baltimore, MD",$132
Hampton Inn Baltimore/White Marsh,"Baltimore, MD",$87
Hilton Garden Inn Baltimore/White Marsh,"Baltimore, MD",$96
"Home2 Suites by Hilton Baltimore / Aberdeen, MD","Aberdeen, MD",$94
Hilton Garden Inn Aberdeen,"Aberdeen, MD",$95
Hampton Inn & Suites Baltimore/Aberdeen,"Aberdeen, MD",$85
Name,Location,Price per Night
Homewood Suites by Hilton Boston-Billerica/Bedford/Burlington,"Billerica, MA",$90
DoubleTree by Hilton Hotel Boston - Bedford Glen,"Bedford, MA",$77
Hampton Inn Boston Bedford Burlington,"Billerica, MA",$78
"Homewood Suites by Hilton Boston/Cambridge-Arlington, MA","Arlington, MA",$131
Homewood Suites by Hilton Boston Marlborough,"Berlin, MA",$104
